,date,var_mean,var_std,var_min,var_max
201,1960-10-07,9.047564,1.2985197,6.8838496,11.812435
202,1960-10-12,8.291294,1.0701689,6.1680036,10.612451
203,1960-10-17,7.711113,0.9315582,5.646088,9.8098755
204,1960-10-22,6.8411245,0.75821257,5.1907015,8.682035
205,1960-10-27,5.802222,0.5979611,4.7208724,7.186707
206,1960-11-01,5.415536,0.53440404,4.1838274,6.4970717
207,1960-11-06,5.047517,0.5417466,3.8404498,5.981451
208,1960-11-11,4.0088363,0.65634716,2.8263125,5.152405
209,1960-11-16,2.9979558,0.7772124,1.6498744,4.358981
210,1960-11-21,2.40596,0.896799,0.7684393,3.8384898
211,1960-11-26,1.4737571,1.0735322,-0.38989517,3.2746549
212,1960-12-01,0.44698453,1.0989094,-1.135417,2.5502326
213,1960-12-06,-0.21293195,0.90647554,-1.2428179,1.8782958
214,1960-12-11,-0.61289525,0.61996317,-1.2849276,1.126806
215,1960-12-16,-0.92473567,0.38485083,-1.4557302,0.1724908
216,1960-12-21,-1.0410607,0.30017993,-1.5456407,-0.09314412
217,1960-12-26,-1.1441048,0.23583937,-1.5834088,-0.27613136
218,1960-12-31,-1.2221714,0.17278782,-1.5963079,-0.64307505
219,1961-01-05,-1.2557611,0.15341452,-1.6155941,-0.68629885
220,1961-01-10,-1.2536623,0.1582889,-1.6093105,-0.7640237
221,1961-01-15,-1.2802436,0.12995952,-1.5759124,-0.9340309
222,1961-01-20,-1.2993952,0.10943743,-1.5617905,-1.0240518
223,1961-01-25,-1.3220758,0.088958666,-1.551572,-1.098147
224,1961-01-30,-1.3372341,0.078714676,-1.5356134,-1.1466317
225,1961-02-04,-1.3419497,0.073014036,-1.530976,-1.1441733
226,1961-02-09,-1.3413565,0.07204657,-1.5204048,-1.10225
227,1961-02-14,-1.3438265,0.07036647,-1.5248014,-1.128006
228,1961-02-19,-1.3450458,0.07008635,-1.5233624,-1.1511157
229,1961-02-24,-1.3555295,0.06459461,-1.5254933,-1.1553271
230,1961-03-01,-1.3610578,0.06189574,-1.5255803,-1.1492597
231,1961-03-06,-1.3603388,0.061257124,-1.5201842,-1.143117
232,1961-03-11,-1.363908,0.06106972,-1.5178014,-1.1414942
233,1961-03-16,-1.3655344,0.060008924,-1.5124527,-1.1450076
234,1961-03-21,-1.3673847,0.06116049,-1.5085472,-1.1457629
235,1961-03-26,-1.3719304,0.062012065,-1.5164286,-1.1406678
236,1961-03-31,-1.3747059,0.06288247,-1.5177966,-1.1286616
237,1961-04-05,-1.3723228,0.06625039,-1.5154406,-1.1028657
238,1961-04-10,-1.3709366,0.07075891,-1.5124178,-1.0730114
239,1961-04-15,-1.3722059,0.075644605,-1.516211,-1.043344
240,1961-04-20,-1.3740394,0.08233408,-1.5181469,-1.0109167
241,1961-04-25,-1.3891083,0.08722612,-1.6061804,-1.0058402
242,1961-04-30,-1.3948808,0.1210293,-1.7824818,-0.63688195
243,1961-05-05,-1.3513724,0.16254173,-1.6337142,0.1469523
244,1961-05-10,-1.3470638,0.20731409,-1.5554125,0.73653257
245,1961-05-15,-1.3018978,0.3055999,-1.5612952,0.96113724
246,1961-05-20,-1.1674186,0.5345431,-1.5271595,1.5069894
247,1961-05-25,-0.9807997,0.92259914,-1.6867914,2.5293322
248,1961-05-30,-0.68996036,1.3617842,-1.6465753,3.4879746
249,1961-06-04,-0.21816976,1.9484673,-1.6604738,4.7516336
250,1961-06-09,0.68074065,2.231166,-1.5609473,5.9699297
251,1961-06-14,1.8602359,2.4512534,-1.456958,7.1047807
252,1961-06-19,3.3035133,3.2206213,-1.5628829,8.994294
253,1961-06-24,4.610981,3.808372,-1.6269265,10.276344
254,1961-06-29,5.586572,4.237236,-1.4847033,11.419729
255,1961-07-04,5.933008,4.046061,-1.4643954,12.093018
256,1961-07-09,7.3063912,3.8855388,-0.55658674,12.817792
257,1961-07-14,9.6132555,4.3329263,0.79043263,15.240459
258,1961-07-19,10.313272,4.4130487,1.7263056,16.33371
259,1961-07-24,11.234743,4.496788,2.3916821,17.266148
260,1961-07-29,11.604586,4.402856,2.9379869,17.63795
261,1961-08-03,11.394427,4.2384825,3.5410714,17.391161
262,1961-08-08,12.047491,4.2226534,4.1921144,18.072712
263,1961-08-13,11.867453,4.1746616,4.670566,18.258268
264,1961-08-18,11.601236,3.897605,5.091123,17.822548
265,1961-08-23,12.108147,3.6949933,5.467767,17.837982
266,1961-08-28,13.031225,3.746615,5.7395163,18.491558
267,1961-09-02,12.934042,3.7671347,5.92085,18.763653
268,1961-09-07,12.487975,3.7401135,6.0752006,18.762793
269,1961-09-12,12.0290785,3.5264654,6.110153,18.15661
270,1961-09-17,10.961405,3.189191,6.0880475,16.79932
271,1961-09-22,10.597061,2.8148189,6.2576737,15.69418
272,1961-09-27,10.204462,2.6620104,6.101034,15.076839
273,1961-10-02,9.594165,2.368884,6.017744,14.022458
274,1961-10-07,8.766235,2.0410578,5.6121035,12.704765
275,1961-10-12,8.3150215,1.8744935,5.3481874,12.076044
276,1961-10-17,7.3681426,1.5147336,4.812087,10.626831
277,1961-10-22,6.5704308,1.2443175,4.2937136,9.339144
278,1961-10-27,5.9507365,1.0086578,4.0058174,8.244568
279,1961-11-01,4.9438286,0.80959684,3.2947,6.870781
280,1961-11-06,4.3737664,0.6965539,2.7929518,5.9042497
281,1961-11-11,3.4692597,0.64223796,2.1431966,4.708118
282,1961-11-16,2.7879958,0.6384321,1.3842512,3.9263577
283,1961-11-21,2.0895243,0.6919812,0.67482054,3.294298
284,1961-11-26,1.4310887,0.7488272,-0.08051414,2.6882794
285,1961-12-01,0.7061339,0.8924012,-0.8529751,2.2542155
286,1961-12-06,-0.00066958665,0.85025764,-1.1825505,1.5894324
287,1961-12-11,-0.4448498,0.62307817,-1.2536191,0.85424393
288,1961-12-16,-0.7502588,0.4294742,-1.3006442,0.20313883
289,1961-12-21,-0.99167,0.2591991,-1.3241454,-0.3357726
290,1961-12-26,-1.0982996,0.1848544,-1.327881,-0.51607186
291,1961-12-31,-1.1610426,0.14588158,-1.3972323,-0.60282123
292,1962-01-05,-1.2023333,0.120413624,-1.3832524,-0.8224612
293,1962-01-10,-1.2388426,0.10019685,-1.4282767,-0.88370657
294,1962-01-15,-1.2678058,0.08803112,-1.4749172,-0.9044376
295,1962-01-20,-1.2818536,0.084711075,-1.4786292,-0.90953815
296,1962-01-25,-1.2855043,0.08417264,-1.4781295,-0.9352015
297,1962-01-30,-1.290356,0.08346902,-1.467328,-1.0235626
298,1962-02-04,-1.310359,0.07174538,-1.4788505,-1.1046433
299,1962-02-09,-1.3145902,0.07137759,-1.4951818,-1.1232783
300,1962-02-14,-1.319734,0.07191724,-1.4972992,-1.1309236
301,1962-02-19,-1.3259863,0.06954715,-1.4996105,-1.1206394
302,1962-02-24,-1.3309419,0.06771339,-1.4966723,-1.1085668
303,1962-03-01,-1.3366821,0.06785084,-1.4934013,-1.1011693
304,1962-03-06,-1.3400705,0.06740609,-1.4913219,-1.1030813
305,1962-03-11,-1.3409778,0.067801386,-1.4893626,-1.1016035
306,1962-03-16,-1.3444083,0.06784985,-1.4962835,-1.1034862
307,1962-03-21,-1.3503828,0.065928794,-1.4929562,-1.1035671
308,1962-03-26,-1.3534648,0.0669735,-1.4912889,-1.1005427
309,1962-03-31,-1.3558099,0.06836005,-1.4995645,-1.0969225
310,1962-04-05,-1.3553421,0.06898617,-1.494459,-1.0857964
311,1962-04-10,-1.3547567,0.07164106,-1.4877115,-1.065272
312,1962-04-15,-1.356909,0.074604996,-1.4870073,-1.0495008
313,1962-04-20,-1.3589199,0.077450804,-1.4960246,-1.0367032
314,1962-04-25,-1.3580433,0.08037399,-1.4873092,-1.032993
315,1962-04-30,-1.3568037,0.08507234,-1.4887393,-1.0067734
316,1962-05-05,-1.378827,0.09650162,-1.5236285,-0.99411565
317,1962-05-10,-1.3482853,0.09259202,-1.5717447,-0.9591401
318,1962-05-15,-1.3681672,0.13269144,-1.5653615,-0.36862326
319,1962-05-20,-1.3677356,0.1789949,-1.6924474,0.25508678
320,1962-05-25,-1.298406,0.34281772,-1.7099105,0.80179524
321,1962-05-30,-0.60612595,1.0309153,-1.619177,2.2341166
322,1962-06-04,0.6658038,1.4341482,-1.6183031,3.7179916
323,1962-06-09,2.8343494,2.137203,-1.7211297,7.012355
324,1962-06-14,3.92686,2.0954726,-1.327082,8.315271
325,1962-06-19,5.120509,2.3249168,-0.44363517,9.93719
326,1962-06-24,6.09594,2.4244874,0.6796257,11.058149
327,1962-06-29,7.03869,2.5178788,1.6351815,11.606923
328,1962-07-04,8.114222,2.8911347,2.690838,12.9788265
329,1962-07-09,9.698619,3.2911742,3.470451,14.951282
330,1962-07-14,10.670425,3.413836,3.8487244,15.71841
331,1962-07-19,11.769231,3.7153835,4.456699,17.277737
332,1962-07-24,11.479881,3.4330168,5.0623145,16.79612
333,1962-07-29,11.777385,3.4686117,5.503633,17.29028
334,1962-08-03,12.621938,3.5143015,6.050308,18.043184
335,1962-08-08,12.462392,3.5829227,6.5464406,18.212362
336,1962-08-13,12.758024,3.4497387,6.9241886,18.362455
337,1962-08-18,12.466436,3.294289,7.022726,18.054718
338,1962-08-23,12.432355,3.0061896,7.607169,17.589304
339,1962-08-28,12.970767,3.0461307,7.8102336,17.962835
340,1962-09-02,13.036959,3.0339134,8.00555,18.156778
341,1962-09-07,12.5640135,2.9032958,7.809731,17.734417
342,1962-09-12,12.148227,2.6969209,7.702494,17.138456
343,1962-09-17,11.797808,2.5021737,7.7747703,16.525566
344,1962-09-22,10.840289,2.1731884,7.6242642,15.141136
345,1962-09-27,10.2089615,1.8881291,7.0382605,13.976191
346,1962-10-02,9.730888,1.665317,6.692038,13.029275
347,1962-10-07,9.514592,1.5721072,6.5623302,12.602269
348,1962-10-12,9.356237,1.5068899,6.491307,12.204874
349,1962-10-17,8.585199,1.3369565,5.897579,11.198806
350,1962-10-22,7.847766,1.1237113,5.623268,10.103337
351,1962-10-27,6.972931,0.9062714,5.2253795,8.857076
352,1962-11-01,5.985324,0.74927247,4.693112,7.46839
353,1962-11-06,4.8040524,0.72525233,3.4535255,6.185832
354,1962-11-11,3.8445935,0.7630227,2.339035,5.337271
355,1962-11-16,2.9243226,0.8317039,1.3453581,4.3690257
356,1962-11-21,2.0440114,0.9837291,0.19646211,3.6533418
